Request,Response,Time
hi,Hello!,"00:14:17:AM, Date: 19/11/2022"
What your name,My name's Corgiman,"00:14:35:AM, Date: 19/11/2022"
can you help me,I can guide you through some courses,"00:14:53:AM, Date: 19/11/2022"
no,Hi there,"00:16:54:AM, Date: 19/11/2022"
hi,It's a pleasure to meet you,"16:31:54:PM, Date: 20/11/2022"
what your name,Corgiman is my name,"16:32:05:PM, Date: 20/11/2022"
what your name,I'm Corgiman the assistant of DAC,"16:32:47:PM, Date: 20/11/2022"
how old ,My owner DAC is 20 years old!,"16:32:57:PM, Date: 20/11/2022"
what do we learn,Can you guess what we will learn today ?,"16:33:09:PM, Date: 20/11/2022"
,It's good to see you,"16:33:16:PM, Date: 20/11/2022"
,Pleased to meet you,"16:33:22:PM, Date: 20/11/2022"
bye,Have a good day,"16:33:31:PM, Date: 20/11/2022"
hi,Hey!,"23:15:00:PM, Date: 27/11/2022"
hi,It's nice to meet you,"23:16:34:PM, Date: 27/11/2022"
no,It's good to see you,"23:16:41:PM, Date: 27/11/2022"
Hi,Have a nice day,"23:20:26:PM, Date: 27/11/2022"
what do you do,I can guide you through some courses,"23:20:36:PM, Date: 27/11/2022"
how old are you,20 years!,"23:20:45:PM, Date: 27/11/2022"
hi,It's nice to meet you,"23:24:58:PM, Date: 27/11/2022"
what your name,I'm Corgiman,"23:25:07:PM, Date: 27/11/2022"
hi,What can I do for you?,"23:26:32:PM, Date: 27/11/2022"
what your name,You can call me Corgiman!,"23:26:41:PM, Date: 27/11/2022"
what do you do,I can guide you through some courses,"23:26:51:PM, Date: 27/11/2022"
what time,I not wear a watch,"23:26:58:PM, Date: 27/11/2022"
what do we lear,We will learn about pandas in python,"23:27:12:PM, Date: 27/11/2022"
can you help me,I can guide you through some courses,"23:27:21:PM, Date: 27/11/2022"
bye,Sad to see you go :(,"23:27:32:PM, Date: 27/11/2022"
bye,See you later,"23:27:37:PM, Date: 27/11/2022"
by,Hey!,"23:27:42:PM, Date: 27/11/2022"
bye,Have a good one,"23:27:47:PM, Date: 27/11/2022"
bye,Goodbye!,"23:27:52:PM, Date: 27/11/2022"
hello,It's a pleasure to meet you,"23:27:56:PM, Date: 27/11/2022"
what your age,I'm 20,"23:28:05:PM, Date: 27/11/2022"
hi,What can I do for you?,"21:45:47:PM, Date: 28/11/2022"
hi,Hello!,"21:45:53:PM, Date: 28/11/2022"
what your name,I'm Corgiman the assistant of DAC,"21:46:01:PM, Date: 28/11/2022"
hi,What can I do for you?,"21:49:06:PM, Date: 28/11/2022"
